Age,Gender,spotify_usage_period,User_ID,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating
20-35,Male,Less than 6 months,User_361,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Hip-hop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Others, Social media",3
20-35,Female,1 year to 2 years,User_362,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Country,Night,Sadness or melancholy,leisure time,recommendations,3
20-35,Male,More than 2 years,User_363,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,R&B,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4
60+,Female,1 year to 2 years,User_364,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,,Jazz,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",4
20-35,Female,More than 2 years,User_365,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,,Folk,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists",5
20-35,Male,More than 2 years,User_366,Smartphone,Free (ad-supported),No,None,,Indie,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",5
20-35,Female,6 months to 1 year,User_367,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Rock,Night,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Female,Less than 6 months,User_368,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Reggae,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Radio",3
20-35,Female,Less than 6 months,User_369,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Electronic,Night,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Female,6 months to 1 year,User_370,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Playlists,3
20-35,Female,More than 2 years,User_371,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Radio",4
